model_1_mae,model_1_likelihood,model_2_mae,model_2_likelihood,y_test_violation,model_1_violation,model_2_violation,constraint_path,dataset_index,y_test_violation_1e-06,y_test_violation_0.0001,y_test_violation_0.001,y_test_violation_0.01,y_test_violation_0.1,model_1_violation_1e-06,model_1_violation_0.0001,model_1_violation_0.001,model_1_violation_0.01,model_1_violation_0.1,model_2_violation_1e-06,model_2_violation_0.0001,model_2_violation_0.001,model_2_violation_0.01,model_2_violation_0.1
0.013075483031570911,2.82372784614563,0.012161784805357456,2.898589611053467,0.0,0.2786666666666666,0.2846666666666666,constraints_generated/smt_constraints_random/n10_r1.0_i0.txt,1,0.0,0.0,0.0,0.0,0.0,0.2786666666666666,0.2786666666666666,0.2733333333333333,0.23199999999999998,0.010666666666666713,0.2846666666666666,0.28400000000000003,0.2793333333333333,0.23333333333333328,0.007333333333333303
0.01084345392882824,2.9746553897857666,0.009677056223154068,3.075943946838379,0.0,0.16800000000000004,0.16266666666666663,constraints_generated/smt_constraints_random/n10_r1.0_i0.txt,2,0.0,0.0,0.0,0.0,0.0,0.16800000000000004,0.16800000000000004,0.16333333333333333,0.1293333333333333,0.004666666666666708,0.16266666666666663,0.16266666666666663,0.15866666666666662,0.11199999999999999,0.0
0.013195748440921307,2.8373830318450928,0.01202728133648634,2.863969326019287,0.0,0.4733333333333334,0.4706666666666667,constraints_generated/smt_constraints_random/n10_r1.0_i1.txt,1,0.0,0.0,0.0,0.0,0.0,0.4733333333333334,0.472,0.4613333333333334,0.3453333333333334,0.005333333333333301,0.4706666666666667,0.46799999999999997,0.45133333333333336,0.30133333333333334,0.0
0.009888576343655586,3.0368666648864746,0.009424309246242046,3.0599241256713867,0.0,0.11266666666666669,0.09599999999999997,constraints_generated/smt_constraints_random/n10_r1.0_i1.txt,2,0.0,0.0,0.0,0.0,0.0,0.11266666666666669,0.11266666666666669,0.10733333333333328,0.08133333333333337,0.007333333333333303,0.09599999999999997,0.09599999999999997,0.09266666666666667,0.07399999999999995,0.0020000000000000018
0.012498656287789345,2.9126946926116943,0.011459465138614178,2.957183599472046,0.0,0.20133333333333336,0.19666666666666666,constraints_generated/smt_constraints_random/n10_r1.0_i2.txt,1,0.0,0.0,0.0,0.0,0.0,0.20133333333333336,0.20066666666666666,0.19666666666666666,0.16666666666666663,0.006000000000000005,0.19666666666666666,0.19666666666666666,0.19133333333333336,0.15666666666666662,0.0033333333333332993
0.013101655058562756,2.9050517082214355,0.011000646278262138,3.030003547668457,0.0,0.29933333333333334,0.28400000000000003,constraints_generated/smt_constraints_random/n10_r1.0_i2.txt,2,0.0,0.0,0.0,0.0,0.0,0.29933333333333334,0.29933333333333334,0.29800000000000004,0.2626666666666667,0.011333333333333306,0.28400000000000003,0.2833333333333333,0.2766666666666666,0.22599999999999998,0.002666666666666706
0.010899986140429974,2.962656259536743,0.010478293523192406,2.9538140296936035,0.0,0.17666666666666664,0.17400000000000004,constraints_generated/smt_constraints_random/n10_r1.0_i3.txt,1,0.0,0.0,0.0,0.0,0.0,0.17666666666666664,0.17666666666666664,0.17400000000000004,0.1466666666666666,0.012666666666666715,0.17400000000000004,0.17200000000000004,0.17000000000000004,0.14066666666666672,0.006000000000000005
0.012037447653710842,2.846567392349243,0.011434939689934254,2.8703081607818604,0.0,0.2546666666666667,0.262,constraints_generated/smt_constraints_random/n10_r1.0_i3.txt,2,0.0,0.0,0.0,0.0,0.0,0.2546666666666667,0.2546666666666667,0.2513333333333333,0.21199999999999997,0.007333333333333303,0.262,0.262,0.256,0.20999999999999996,0.004666666666666708
0.014880768954753876,2.68449330329895,0.014224797487258911,2.726541519165039,0.0,0.4873333333333333,0.45866666666666667,constraints_generated/smt_constraints_random/n10_r1.0_i4.txt,1,0.0,0.0,0.0,0.0,0.0,0.4873333333333333,0.4873333333333333,0.4766666666666667,0.4053333333333333,0.012666666666666715,0.45866666666666667,0.45866666666666667,0.45133333333333336,0.3766666666666667,0.011333333333333306
0.015802541747689247,2.8408374786376953,0.015346506610512733,2.8677310943603516,0.0,0.3873333333333333,0.3713333333333333,constraints_generated/smt_constraints_random/n10_r1.0_i4.txt,2,0.0,0.0,0.0,0.0,0.0,0.3873333333333333,0.386,0.3826666666666667,0.33333333333333337,0.03200000000000003,0.3713333333333333,0.3713333333333333,0.366,0.29800000000000004,0.030000000000000027
0.010649132542312145,2.9539854526519775,0.010124875232577324,2.990386724472046,0.0,0.15266666666666662,0.14800000000000002,constraints_generated/smt_constraints_random/n10_r1.2_i0.txt,1,0.0,0.0,0.0,0.0,0.0,0.15266666666666662,0.15266666666666662,0.14933333333333332,0.1253333333333333,0.002666666666666706,0.14800000000000002,0.14800000000000002,0.14733333333333332,0.12,0.0
0.010136792436242104,3.045029401779175,0.009855560027062893,3.0280709266662598,0.0,0.11199999999999999,0.11199999999999999,constraints_generated/smt_constraints_random/n10_r1.2_i0.txt,2,0.0,0.0,0.0,0.0,0.0,0.11199999999999999,0.11066666666666669,0.10933333333333328,0.09066666666666667,0.007333333333333303,0.11199999999999999,0.11199999999999999,0.11066666666666669,0.08733333333333337,0.004666666666666708
0.01194011140614748,2.859748363494873,0.011310674250125885,2.907395362854004,0.0,0.30066666666666664,0.29666666666666663,constraints_generated/smt_constraints_random/n10_r1.2_i1.txt,1,0.0,0.0,0.0,0.0,0.0,0.30066666666666664,0.30066666666666664,0.29666666666666663,0.262,0.005333333333333301,0.29666666666666663,0.29666666666666663,0.29200000000000004,0.246,0.0033333333333332993
